time,job ID,event type,scheduling class
18606105504,6252797172,0,2
18607827301,6252797172,1,2
18607827305,6252797199,0,0
18608473491,6252797199,1,0
18613516559,6252789626,4,0
18613516621,6252789669,5,0
18613516627,6252789937,5,0
18615722114,6252797731,0,1
18617184453,6252797731,1,1
18617204739,6252797761,0,2
18618271004,6252797733,0,1
18618980628,6252797761,1,2
18619727090,6252797733,1,1
18623351240,6252783207,4,1
18626318504,6252797982,0,1
18627055941,6252797995,0,0
18627831399,6252797982,1,1
18628827953,6252797995,1,0
18633478645,6252787261,4,0
18640148090,6252798232,0,1
18641800793,6252798232,1,1
18647792385,6252798401,0,0
18649190986,6252798401,1,0
18649948683,6252798452,0,1
18649970121,6252797733,4,1
18651820266,6252798452,1,1
18651848480,6252797995,4,0
18651848482,6252798024,0,0
18653274914,6252798024,1,0
18653292351,6252798536,0,1
18654881253,6252798536,1,1
18656894840,6252798632,0,0
18656900080,6252798320,0,1
18656904839,6252798501,0,1
18658177055,6252798320,1,1
18658177066,6252798501,1,1
18658177092,6252798632,1,0
18658219686,6252798668,0,0
18659538450,6252798668,1,0
18659553443,6252797731,4,1
18666253768,6252797172,4,2
18666253855,6252797199,5,0
18666253860,6252797761,5,2
18668999894,6252798666,0,1
18670301388,6252798666,1,1
18670336658,6252798401,4,0
18671029193,6252798926,0,1
18672427771,6252798926,1,1
18678145522,6252794042,4,2
18681060374,6252798928,0,2
18681066716,6252798945,0,1
18681069226,6252798501,4,1
18682576005,6252798945,1,1
18682576022,6252798928,1,2
18682576026,6252798993,0,0
18682576027,6252799085,0,2
18683254887,6252798993,1,0
18683255657,6252799085,1,2
18684895899,6252798668,4,0
18686263084,6252796760,4,0
18687037196,6252798024,4,0
18687037199,6252798026,0,0
18688496074,6252798026,1,0
18693350133,6252799558,0,2
18693355347,6252799560,0,2
18693357614,6252799669,0,1
18693359775,6252798320,4,1
18695084264,6252799558,1,2
18695084287,6252799560,1,2
18695084297,6252799669,1,1
18695191047,6252713192,5,1
18697965919,6252799843,0,1
18699359922,6252799843,1,1
18706573418,6252799715,0,1
18706577512,6252799738,0,1
18706580237,6252799789,0,0
18706582551,6252799791,0,2
18706602256,6252260886,4,2
18706602323,6252260937,5,0
18706602330,6252266494,5,2
18708037655,6252799789,1,0
18708037678,6252799791,1,2
18708037682,6252799845,0,0
18708037683,6252799899,0,0
18708037684,6252800177,0,2
18708037893,6252799715,1,1
18708037904,6252799738,1,1
18708697789,6252799845,1,0
18708697814,6252799899,1,0
18708701733,6252800177,1,2
18713445661,6252801351,0,0
18714350550,6252798026,4,0
18715195077,6252801351,1,0
18718796005,6252800242,0,0
18720236792,6252800242,1,0
18720259628,6252801562,0,0
18721629002,6252801562,1,0
18721648222,6252801612,0,0
18723340670,6252249749,4,1
18724097230,6252801612,1,0
18724118412,6252801658,0,0
18725683169,6252801658,1,0
18726430059,6252801721,0,0
18728191599,6252801721,1,0
18729812512,6252801787,0,2
18731377962,6252801787,1,2
18731401514,6252249902,0,1
18731405373,6252801679,0,1
18731407456,6252801414,0,2
18732163187,6252801860,0,0
18732874000,6252249902,1,1
18732874017,6252801414,1,2
18732874021,6252801482,0,0
18732874022,6252801615,0,2
18732874080,6252801679,1,1
