window,n,started_before,ended_differently,ended_after,mean,median,stdDev,var,minimum,maximum
0.0,589.0,25.0,540.0,138.0,229.6482373870968,121.777082,348.28333851833094,121301.2838894743,17.239508,2679.564768
1.0,501.0,60.0,397.0,96.0,195.5208683992016,82.534947,300.1018056319977,90061.09374358533,14.172527,2553.10548
2.0,480.0,39.0,252.0,94.0,184.00134014375,64.7636945,290.23265864695946,84234.99614528251,16.748816,2475.84097
3.0,335.0,29.0,143.0,82.0,241.49164302388058,64.805692,484.1585541709225,234409.5055768781,16.234147,2815.275876
4.0,404.0,45.0,218.0,74.0,185.95488521039604,67.48008949999999,283.8280721432569,80558.37453655787,16.131784,1781.440231
5.0,428.0,36.0,204.0,94.0,215.2079839509346,85.6003935,393.8460781798181,155114.7332976234,15.550062,3002.417191
6.0,375.0,40.0,222.0,73.0,191.229075816,70.38025,307.67471456391553,94663.72998198688,15.563271,2317.892338
7.0,425.0,26.0,218.0,80.0,196.00696438823533,74.437607,375.96515223361854,141349.79569404796,16.541503,2858.721617
8.0,448.0,37.0,284.0,127.0,234.1498742299107,89.878231,373.97936384120067,139860.56457906915,16.494563,2932.393056
9.0,372.0,49.0,200.0,96.0,242.76668353763444,75.7524545,430.1346690857336,185015.83354949357,17.406432,3525.462275
10.0,469.0,41.0,323.0,107.0,256.0474172366737,105.782061,429.29317326523056,184292.62861213126,16.591743,3055.317699
11.0,474.0,58.0,350.0,119.0,235.25131025949366,101.24117000000001,403.4993504660889,162811.72582655563,17.470726,2938.424747
12.0,460.0,42.0,415.0,139.0,219.86586938043482,98.6958195,304.01547133091026,92425.40680855552,17.411648,2776.188465
13.0,460.0,52.0,325.0,115.0,238.03219729565217,117.4100525,360.9649797006633,130295.7165703003,16.243804,2871.775404
14.0,496.0,41.0,441.0,188.0,258.4107123326613,133.7805875,362.9901922114136,131761.879641679,17.127839,2902.86312
15.0,500.0,67.0,449.0,204.0,282.10525381800005,152.15189550000002,433.3036302717366,187752.03600666582,20.46419,3424.007501
16.0,718.0,79.0,575.0,188.0,247.9343693454039,150.4109105,306.64064553643044,94028.48549499878,18.650964,2946.994814
17.0,463.0,89.0,406.0,104.0,259.7561783412527,136.908509,391.60107745669603,153351.40386524523,18.158254,2889.833293
18.0,417.0,44.0,306.0,105.0,230.70146933333334,117.390145,337.79810949109896,114107.5627757605,18.921485,2846.253611
19.0,441.0,59.0,310.0,105.0,262.7332627505669,132.397621,386.0878594249053,149063.8351953054,18.753895,3072.881902
20.0,427.0,41.0,332.0,158.0,240.80270850351286,114.342445,308.0652194021169,94904.17940527444,18.942842,2053.776048
21.0,428.0,57.0,323.0,197.0,315.512438521028,144.28886749999998,467.4299554968237,218490.7632957626,25.362646,3531.34442
22.0,484.0,71.0,399.0,209.0,300.8657681714876,167.278506,372.68636335287033,138895.12542918767,37.133512,2138.112954
23.0,462.0,66.0,408.0,113.0,345.07596182467535,178.58079800000002,479.37659337008563,229801.91827110844,34.733469,2944.620031
