window,n,started_before,ended_differently,ended_after,mean,median,stdDev,var,minimum,maximum
0.0,1144.0,31.0,937.0,127.0,285.63093290646856,117.155667,559.5079918114573,313049.1929008897,14.172527,6180.854762
1.0,839.0,44.0,395.0,124.0,279.80640770917756,68.500074,640.399391828527,410111.38105434715,16.234147,6438.614445
2.0,851.0,62.0,422.0,123.0,234.68108168977676,79.055388,453.1913281572634,205382.3799169444,15.550062,5476.885683
3.0,819.0,47.0,440.0,106.0,232.69819786935287,77.772547,480.2632257261923,230652.76598492754,15.563271,6186.651431
4.0,863.0,43.0,484.0,136.0,304.2727706465817,94.990463,577.888514474818,333955.1351619119,16.494563,6126.079192
5.0,991.0,51.0,673.0,151.0,286.94615786175575,115.766572,525.082627228404,275711.7654170831,16.591743,6053.039008
6.0,961.0,53.0,740.0,159.0,313.1812701862643,115.478766,606.682360783228,368063.4868855108,16.243804,6539.244482
7.0,1052.0,52.0,890.0,256.0,357.98567441730034,151.3740245,653.9893135055509,427702.0221794616,17.127839,6827.572211
8.0,1258.0,91.0,981.0,143.0,350.9004531891892,159.8328315,632.336353240348,399849.26362930215,18.158254,5373.157154
9.0,901.0,60.0,616.0,133.0,331.6703487658158,132.727352,611.1455814369002,373498.9217098468,18.753895,5177.867621
10.0,902.0,51.0,655.0,263.0,362.3168865909091,142.4925425,618.57994018702,382641.1424017773,18.942842,5450.920078
11.0,988.0,95.0,807.0,239.0,376.75331824392714,180.8245625,589.9018802230718,347984.2282907153,34.733469,6126.531788
