window,n,started_before,ended_differently,ended_after,mean,median,stdDev,var,minimum,maximum
0.0,2183.0,467.0,4539.0,6905.0,146.25042605497023,95.9767,105.25965380442165,11079.594719026696,17.752077,634.977549
1.0,1908.0,1160.0,1841.0,1495.0,178.9124052148847,161.012108,114.03874877933046,13004.836223155244,15.672119,821.007214
2.0,1801.0,2215.0,2065.0,4676.0,287.7971562043309,287.807523,137.50112324890299,18906.55889471001,17.239502,813.811248
3.0,4253.0,1465.0,2604.0,4163.0,113.78313396284976,101.369005,85.50694982353383,7311.438468124333,17.922017,855.314481
4.0,3207.0,3049.0,2757.0,4259.0,241.4791786548176,199.715874,155.95794302443758,24322.87999241372,16.53131,807.728305
5.0,4553.0,2343.0,3491.0,2280.0,202.4751557520316,186.853201,118.06955269531011,13940.41927367061,17.373655,652.881044
6.0,2196.0,567.0,2037.0,1384.0,444.6803995787796,542.1934355000001,230.12622466260365,52958.07927746313,18.389202,803.354257
7.0,1316.0,860.0,2929.0,4132.0,300.5869285288754,315.85488050000004,129.60740272869984,16798.078842079387,14.172521,731.605113
8.0,3062.0,3846.0,2900.0,1109.0,85.62064368713258,77.9409035,70.49562330093535,4969.632904587379,16.881916,780.896452
9.0,1659.0,284.0,4611.0,9388.0,167.61662820433995,129.315726,104.29988157144702,10878.465295817874,17.158145,658.702313
10.0,2205.0,895.0,2702.0,6929.0,206.31298554965989,196.626348,119.55545488846474,14293.506793587727,16.74881,804.30909
11.0,293.0,315.0,18217.0,19148.0,279.6749549146757,196.74339,223.86821996321913,50116.97990950026,18.132662,824.578374
12.0,1958.0,717.0,4945.0,3888.0,141.78240077170582,109.160447,99.00339138794257,9801.671506314142,16.239175,559.978542
13.0,1431.0,272.0,2465.0,2435.0,143.0612497491265,137.549194,80.71224629434002,6514.466701878205,16.234141,649.045007
14.0,240.0,6827.0,2095.0,1332.0,193.21310787499996,82.6954255,206.51985542866936,42650.45068627849,18.375501,767.605241
15.0,964.0,1606.0,13997.0,25515.0,123.53352398029045,123.1943505,61.094336839959134,3732.5179939143877,19.560117,594.107065
16.0,1057.0,8489.0,4114.0,2923.0,219.6948636499527,184.837652,165.7469190173794,27472.041163753725,18.800433,833.837252
17.0,915.0,1758.0,4294.0,3832.0,119.0595047125683,81.495271,88.3555973806289,7806.711588487795,17.030472,621.220876
18.0,2384.0,232.0,3259.0,4341.0,188.72187647357381,216.9374975,126.67789804736677,16047.289853699049,16.131777,747.434458
19.0,1191.0,280.0,2482.0,3376.0,263.3185290982368,254.230441,114.92905288970282,13208.687198124107,16.138806,684.205914
20.0,1036.0,2337.0,1996.0,1981.0,201.73926893243242,189.8588985,84.57182499962212,7152.39358376671,15.550056,571.855208
21.0,1830.0,1191.0,23734.0,31138.0,418.90037271748633,264.17113,285.358606831263,81429.53449267933,18.211287,866.015899
22.0,698.0,2646.0,5243.0,5730.0,221.0787762550143,227.5717215,117.77765524690194,13871.576075458088,16.555887,664.65694
23.0,1405.0,1100.0,12473.0,13761.0,106.26496521992881,84.262039,86.27971685755381,7444.189541019655,17.659762,868.746059
24.0,278.0,355.0,3555.0,3211.0,222.25921815827337,222.929136,151.93526063564937,23084.323424422706,16.681705,793.927329
