window;n;started_before;ended_differently;ended_after;mean;median;stdDev;var;minimum;maximum
0;13869;1568;11049;12987;473,814614;159,400045;685,270195;469595,2401;15,672119;2846,800846
1;12753;5317;11214;9973;316,3149452;249,597244;267,5876504;71603,15065;14,172521;3556,271692
2;8042;4493;28430;34234;215,3431209;124,37839;278,9171364;77794,76897;16,74881;2896,434973
3;5493;8510;23502;29734;288,6186031;142,724907;444,0680155;197196,4024;16,234141;2831,891452
4;6088;10170;14149;12901;243,6890091;218,123387;232,1376195;53887,8744;16,131777;3250,794858
5;7061;5182;43446;43846;464,2511265;218,524033;556,909973;310148,718;15,550056;3020,227795
6;4593;4261;25348;21897;366,9503909;243,320567;344,6644948;118793,6139;15,563264;2684,980785
7;5044;7859;18370;17742;303,9056533;203,9016705;420,454454;176781,9479;16,541497;3574,036593
8;20877;6172;42382;43332;709,6802939;658,298014;615,1315463;378386,8192;16,494557;3054,934692
9;10041;11776;42911;37624;571,0246387;448,630924;473,7393258;224428,9488;17,406426;3525,462268
10;17066;5000;23488;21076;334,3301788;252,289957;358,3820606;128437,7014;16,591737;3055,317692
11;8363;4480;16026;17046;386,5146988;211,361004;487,4530243;237610,4509;17,321996;2938,42474
12;9862;4680;47184;37839;409,1975569;292,8415755;335,254984;112395,9043;17,403189;2776,508023
13;10898;5670;28292;24725;361,838643;227,359022;407,8385427;166332,277;16,243798;3496,647485
14;13988;1188;48603;33624;458,9518844;312,4394005;397,3317165;157872,4929;17,127833;2902,863085
15;23327;2660;51556;35618;588,2457326;511,017017;491,4100297;241483,8173;20,464184;3424,007494
16;12129;3458;32207;24619;490,6451358;300,653964;535,7839816;287064,475;18,650958;2946,994806
17;13085;3472;41821;32333;283,2507014;172,495296;372,3137651;138617,5397;18,158248;2889,833285
18;17977;4289;55549;44086;363,1509597;306,966046;249,9893105;62494,65534;18,921479;2510,606773
19;21866;5688;43627;33270;519,5261952;411,5546525;390,6421468;152601,2868;18,753889;3147,353377
20;26094;8715;128440;36248;483,8501887;290,309961;502,3141019;252319,457;18,942836;2952,70013
21;28638;9370;334460;52988;344,4689006;182,5334075;428,8518647;183913,9218;25,36264;3514,05406
22;28244;4794;685904;61969;364,8538397;257,9584315;311,1639155;96822,98228;37,133506;3224,364811
23;35848;18708;518038;47390;450,6242348;273,3035855;381,2098188;145320,9259;34,462947;2944,620024
